10000; 353928
20000; 765415
30000; 1157653
40000; 1641816
50000; 2103008
60000; 2484079
70000; 3020545
80000; 3493321
90000; 3912410
100000; 4446870
10000; 353992
20000; 765267
10000; 353824
20000; 765271
30000; 1157617
40000; 1641716
50000; 2103729
60000; 2484307
70000; 3020429
80000; 3493265
90000; 3911676
