10000; 0.000
20000; 0.006
30000; 0.002
40000; 0.003
50000; 0.002
60000; 0.006
70000; 0.005
80000; 0.010
90000; 0.024
100000; 0.009
10000; 0.001
20000; 0.001
30000; 0.002
40000; 0.002
50000; 0.001
60000; 0.005
70000; 0.008
80000; 0.021
90000; 0.010
100000; 0.023
10000; 0.000
20000; 0.001
30000; 0.002
40000; 0.004
50000; 0.005
60000; 0.005
70000; 0.006
80000; 0.007
90000; 0.022
100000; 0.008
10000; 0.007
20000; 0.001
30000; 0.002
40000; 0.003
80000; 0.006
90000; 0.008
100000; 0.008
100000; 0.009
160000; 0.016
220000; 0.032
280000; 0.025
340000; 0.031
400000; 0.038
460000; 0.044
100000; 0.009
160000; 0.015
220000; 0.025
280000; 0.032
340000; 0.035
400000; 0.038
460000; 0.046
