10000; 0.001
20000; 0.001
30000; 0.001
40000; 0.009
50000; 0.009
60000; 0.006
70000; 0.005
80000; 0.002
90000; 0.005
100000; 0.006
10000; 0.001
20000; 0.001
30000; 0.002
40000; 0.004
50000; 0.003
60000; 0.004
70000; 0.005
80000; 0.010
90000; 0.016
100000; 0.019
200000; 0.017
200000; 0.013
10000; 0.002
20000; 0.000
30000; 0.001
40000; 0.007
50000; 0.010
60000; 0.003
70000; 0.005
80000; 0.015
90000; 0.013
100000; 0.006
10000; 0.001
20000; 0.000
30000; 0.001
40000; 0.003
80000; 0.004
90000; 0.004
100000; 0.005
100000; 0.009
160000; 0.015
220000; 0.014
280000; 0.018
340000; 0.020
400000; 0.025
460000; 0.028
