10000; 0.001
20000; 0.003
30000; 0.001
40000; 0.006
50000; 0.005
60000; 0.003
70000; 0.005
80000; 0.002
90000; 0.002
100000; 0.014
10000; 0.001
20000; 0.001
30000; 0.001
40000; 0.001
50000; 0.001
60000; 0.001
70000; 0.002
80000; 0.006
90000; 0.008
100000; 0.009
10000; 0.000
20000; 0.001
30000; 0.002
40000; 0.001
50000; 0.006
60000; 0.002
70000; 0.003
80000; 0.010
90000; 0.009
100000; 0.004
10000; 0.000
20000; 0.001
30000; 0.001
40000; 0.002
80000; 0.003
90000; 0.004
100000; 0.004
100000; 0.006
160000; 0.009
220000; 0.009
280000; 0.011
340000; 0.013
400000; 0.015
460000; 0.019
