10000; 0.005
20000; 0.010
30000; 0.004
40000; 0.029
50000; 0.025
60000; 0.035
70000; 0.020
80000; 0.014
90000; 0.016
100000; 0.018
10000; 0.003
20000; 0.006
30000; 0.016
40000; 0.021
50000; 0.009
60000; 0.007
70000; 0.016
80000; 0.028
90000; 0.043
100000; 0.047
10000; 0.006
20000; 0.003
30000; 0.005
40000; 0.013
50000; 0.033
60000; 0.010
70000; 0.013
80000; 0.028
90000; 0.025
100000; 0.021
10000; 0.002
20000; 0.002
30000; 0.004
40000; 0.006
80000; 0.014
90000; 0.016
100000; 0.018
100000; 0.024
160000; 0.041
220000; 0.052
280000; 0.052
340000; 0.066
400000; 0.079
460000; 0.092
