10000; 0.001
20000; 0.014
30000; 0.005
40000; 0.007
50000; 0.009
60000; 0.009
70000; 0.010
80000; 0.018
90000; 0.020
100000; 0.025
10000; 0.002
20000; 0.001
30000; 0.006
40000; 0.006
50000; 0.010
60000; 0.009
70000; 0.014
80000; 0.012
90000; 0.021
100000; 0.020
10000; 0.002
20000; 0.009
30000; 0.005
40000; 0.009
50000; 0.009
60000; 0.011
70000; 0.015
80000; 0.015
90000; 0.049
100000; 0.018
10000; 0.002
20000; 0.003
30000; 0.004
40000; 0.006
80000; 0.013
90000; 0.018
100000; 0.017
100000; 0.019
160000; 0.037
220000; 0.055
280000; 0.055
340000; 0.069
400000; 0.075
460000; 0.089
