10000; 0.006
20000; 0.012
30000; 0.006
40000; 0.033
50000; 0.035
60000; 0.024
70000; 0.026
80000; 0.022
90000; 0.021
100000; 0.024
10000; 0.004
20000; 0.013
30000; 0.019
40000; 0.025
50000; 0.009
60000; 0.012
70000; 0.020
80000; 0.039
90000; 0.064
100000; 0.071
10000; 0.007
20000; 0.004
30000; 0.007
40000; 0.027
50000; 0.037
60000; 0.013
70000; 0.015
80000; 0.053
90000; 0.052
100000; 0.025
10000; 0.002
20000; 0.004
30000; 0.005
40000; 0.008
80000; 0.016
90000; 0.019
100000; 0.022
100000; 0.028
160000; 0.041
220000; 0.069
280000; 0.069
340000; 0.086
400000; 0.104
460000; 0.120
