10000; 0.001
20000; 0.001
30000; 0.001
40000; 0.005
50000; 0.004
60000; 0.001
70000; 0.001
80000; 0.002
90000; 0.004
100000; 0.009
10000; 0.001
20000; 0.001
30000; 0.001
40000; 0.001
50000; 0.002
60000; 0.001
70000; 0.001
80000; 0.007
90000; 0.009
100000; 0.013
10000; 0.000
20000; 0.001
30000; 0.002
40000; 0.002
50000; 0.006
60000; 0.008
70000; 0.003
80000; 0.007
90000; 0.009
100000; 0.004
10000; 0.000
20000; 0.001
30000; 0.001
40000; 0.001
80000; 0.003
90000; 0.003
100000; 0.004
100000; 0.006
160000; 0.010
220000; 0.010
280000; 0.011
340000; 0.012
400000; 0.016
460000; 0.018
